id;title;description;ingredient_names;food_category;food_type;image_url;user_id;created_date
11;Enchiladas Verdes;Tortillas filled with chicken and topped with green tomatillo sauce and cheese.;Tortillas,Chicken,Cheese,Tomatillos;MEXICAN;APPETIZER;http://localhost:8080/images/database/enchiladas-verdes.jpg;4;2024-10-28T00:00:00
12;Palak Paneer;Indian dish made with spinach and cubes of paneer cheese in a creamy sauce.;Spinach,Paneer,Garlic,Cheese;INDIAN;SAUCE;http://localhost:8080/images/database/palak-paneer.jpg;8;2024-10-29T00:00:00
13;Miso Soup;Traditional Japanese soup with miso paste, tofu, and seaweed.;Miso paste,Tofu,Seaweed;JAPANESE;SOUP;http://localhost:8080/images/database/miso-soup.jpg;7;2024-10-30T00:00:00
14;Green Curry;Thai curry made with coconut milk, green chilies, and a mix of vegetables or meat.;Green curry paste,Rice,Coconut milk,Vegetables;THAI;SAUCE;http://localhost:8080/images/database/green-curry.jpg;3;2024-10-31T00:00:00
15;Kung Pao Chicken;Spicy stir-fry with chicken, peanuts, and dried chilies in a savory sauce.;Chicken,Peanuts,Dried chilies,Spring onions,Soy sauce;CHINESE;APPETIZER;http://localhost:8080/images/database/kung-pao-chicken.jpg;10;2024-11-01T00:00:00
16;Risotto;Creamy Italian rice dish cooked with broth and flavored with Parmesan and wine.;Rice,Parmesan,Butter,Broth;AUSTRALIAN;SOUP;http://localhost:8080/images/database/risotto.jpg;2;2024-11-02T00:00:00
17;Chicken Paprikash;Hungarian dish with chicken simmered in a creamy paprika sauce.;Chicken thighs,Onion,Vegetable oil,Paprika,Sour cream,Salt,Black pepper,Dumplings,Rice;HUNGARIAN;STEW;http://localhost:8080/images/database/chicken-paprikash.jpg;6;2024-11-04T00:00:00
18;Churros with Chocolate;Mexican dessert with fried dough sticks dusted in sugar and served with chocolate.;Water,Flour,Vegetable oil,Sugar,Chocolate,Heavy cream;MEXICAN;DESSERT;http://localhost:8080/images/database/churros-with-chocolate.jpg;5;2024-11-04T00:00:00
19;Naan Bread;Soft Indian flatbread served with curries and chutneys.;Flour,Water,Yogurt,Garlic,Butter;INDIAN;APPETIZER;http://localhost:8080/images/database/naan-bread.jpg;9;2024-11-05T00:00:00
20;Tom Yum Soup;Spicy and sour Thai soup with shrimp, lemongrass, and lime.;Shrimp,Lemongrass,Lime,Fresh herbs;THAI;SOUP;http://localhost:8080/images/database/tom-yum-soup.jpg;8;2024-11-06T00:00:00
21;Pak Choi Soup;A nutritious soup made with pak choi, tofu, and mixed vegetables, flavored with Asian spices.;Pak Choi,Onion,Garlic,Ginger Paste,French Beans,Bell Pepper,Bean Sprouts,Snow Peas,Vegetable Stock,Noodles,Oil,Sesame Oil,Soy Sauce,Rice Vinegar,Salt,Five Spice Powder,Chilli Sauce,Tofu,Sesame Seeds;CHINESE;SOUP;http://localhost:8080/images/database/pak-choi-soup.jpg;2;2024-11-06T00:00:00
22;Roasted Pumpkin Beetroot Salad;Salad with roasted pumpkin and beetroot, topped with baby spinach, goat cheese, and a tangy mustard dressing.;Kent Pumpkin,Beetroot,Extra Virgin Olive Oil,Baby Spinach,Goats Cheese,Pepitas,Sunflower Seeds,Sea Salt,Apple Cider Vinegar,Wholegrain Mustard,Honey,Black Pepper;UKRAINIAN;SALAD;http://localhost:8080/images/database/roasted-pumpkin-beetroot-salad.jpg;3;2024-10-23T00:00:00
23;Spinach and Chicken Pasta;Delicious pasta dish with spinach, chicken, and a creamy sauce.;Chicken Breast,Penne Pasta,Spinach,Garlic;ITALIAN;NOODLE;http://localhost:8080/images/database/spinach-and-chicken-pasta.jpg;7;2024-11-10T00:00:00
24;Pesto Chicken Baked Penne;Baked penne pasta with pesto, grilled chicken, and mozzarella.;Penne Pasta,Chicken Breast,Pesto Sauce,Mozzarella Cheese;GERMAN;NOODLE;http://localhost:8080/images/database/pesto-chicken-baked-penne.jpg;6;2024-11-10T00:00:00
25;Beetroot Cream Soup with Feta Cheese;Creamy beetroot soup topped with crumbled feta.;Beetroot,Vegetable Stock,Heavy Cream,Salt,Black Pepper,Feta Cheese;UKRAINIAN;SOUP;http://localhost:8080/images/database/beetroot-cream-soup-with-feta-cheese.jpg;10;2024-11-10T00:00:00
26;Creamy Salmon Spaghetti with Parmesan;Spaghetti served with creamy salmon sauce and Parmesan cheese.;Spaghetti,Garlic,Salmon Fillets,Heavy Cream,Parmesan Cheese;RUSSIAN;NOODLE;http://localhost:8080/images/database/creamy-salmon-spaghetti.jpg;2;2024-11-10T00:00:00

27;Garlic Butter Shrimp Pasta;A creamy garlic butter sauce with shrimp, served over pasta.;Shrimp,Garlic,Butter,Pasta,Parmesan,Cream;RUSSIAN;NOODLE;http://localhost:8080/images/database/garlic-butter-shrimp-pasta.jpg;8;2024-11-10T00:00:00
28;Vegetable Stir Fry;A colorful mix of vegetables stir-fried in a savory sauce.;Carrot,Bell Pepper,Onion,Soy Sauce,Garlic,Ginger,Broccoli,Sesame Oil,Rice;CHINESE;APPETIZER;http://localhost:8080/images/database/vegetable-stir-fry.jpg;3;2024-11-10T00:00:00
29;Eggplant Parmesan;Breaded and fried eggplant slices topped with marinara sauce and melted cheese.;Eggplant,Parmesan,Mozzarella,Bread Crumbs,Marinara Sauce,Basil;ITALIAN;DESSERT;http://localhost:8080/images/database/eggplant-parmesan.jpg;10;2024-11-10T00:00:00
30;Beef Tacos;Ground beef seasoned with spices and served in soft tortillas.;Beef,Taco Seasoning,Tortillas,Lettuce,Tomato,Cheese,Salsa;EASTERN_EUROPEAN;APPETIZER;http://localhost:8080/images/database/beef-tacos-2.jpg;9;2024-11-10T00:00:00
31;Indian Butter Chicken;Tender chicken simmered in a creamy, spiced tomato sauce.;Chicken,Butter,Onion,Garlic,Ginger,Tomatoes,Cream,Garam Masala,Cumin;INDIAN;SAUCE;http://localhost:8080/images/database/butter-chicken.jpg;7;2024-11-10T00:00:00
32;Crispy Pork Belly;Slow-cooked pork belly with crispy skin and a juicy, tender interior.;Pork Belly,Salt,Pepper,Garlic,Olive Oil,Rosemary,Thyme;HUNGARIAN;STEW;http://localhost:8080/images/database/crispy-pork-belly.jpg;11;2024-11-10T00:00:00
33;Japanese Ramen;A rich broth with noodles, topped with soft-boiled egg, pork, and vegetables.;Ramen Noodles,Pork Belly,Egg,Soy Sauce,Garlic,Ginger,Spring Onion,Nori;JAPANESE;NOODLE;http://localhost:8080/images/database/japanese-ramen.jpg;4;2024-11-10T00:00:00
34;Chicken Alfredo;A creamy and cheesy Alfredo sauce with tender chicken and pasta.;Chicken,Pasta,Cream,Garlic,Parmesan,Butter,Milk;ITALIAN;NOODLE;http://localhost:8080/images/database/chicken-alfredo.jpg;5;2024-11-10T00:00:00
35;Tom Kha Gai;A creamy coconut soup with chicken, lemongrass, and lime.;Chicken,Coconut Milk,Lemongrass,Lime,Galangal,Mushrooms,Chili,Fish Sauce;THAI;SOUP;http://localhost:8080/images/database/tom-kha-gai.jpg;6;2024-11-10T00:00:00
36;Chickpea Curry;A spiced chickpea stew served with rice.;Chickpeas,Coconut Milk,Onion,Garlic,Ginger,Tomato,Curry Powder,Rice;VIETNAMESE;SAUCE;http://localhost:8080/images/database/chickpea-curry.jpg;9;2024-11-10T00:00:00
37;Chicken Marsala;A savory Italian chicken dish with a rich Marsala wine sauce.;Chicken,Marsala Wine,Mushrooms,Garlic,Butter,Cream,Olive Oil,Parsley;ITALIAN;STEW;http://localhost:8080/images/database/chicken-marsala.jpg;3;2024-11-10T00:00:00
38;Lamb Rogan Josh;A rich and aromatic lamb curry with a blend of spices.;Lamb,Onion,Garlic,Ginger,Tomato,Yogurt,Garam Masala,Cumin,Coriander;INDIAN;SAUCE;http://localhost:8080/images/database/lamb-rogan-josh.jpg;2;2024-11-10T00:00:00
39;Peking Duck;A crispy-skinned duck served with pancakes and hoisin sauce.;Duck,Hoisin Sauce,Pancakes,Spring Onion,Cucumber,Soy Sauce;CHINESE;APPETIZER;http://localhost:8080/images/database/peking-duck.jpg;10;2024-11-10T00:00:00
40;Fish Tacos;Grilled fish served in soft tortillas with fresh slaw.;Fish Fillets,Cabbage,Carrot,Tortillas,Lime,Avocado,Cilantro,Sour Cream;EASTERN_EUROPEAN;APPETIZER;http://localhost:8080/images/database/fish-tacos.jpg;7;2024-11-10T00:00:00
41;Chicken Parmesan;Breaded and fried chicken breasts topped with marinara sauce and melted cheese.;Chicken,Parmesan,Mozzarella,Marinara Sauce,Bread Crumbs,Garlic,Basil;SPANISH;APPETIZER;http://localhost:8080/images/database/chicken-parmesan.jpg;8;2024-11-10T00:00:00
42;Samosas;Crispy pastry pockets filled with spiced potatoes and peas.;Potato,Peas,Onion,Garam Masala,Cumin,Turmeric,Pastry;INDIAN;APPETIZER;http://localhost:8080/images/database/samosas.jpg;11;2024-11-10T00:00:00
43;Pho;A Vietnamese noodle soup with a rich, fragrant broth.;Beef,Rice Noodles,Onion,Ginger,Star Anise,Cloves,Fish Sauce,Lime,Cilantro;VIETNAMESE;SOUP;http://localhost:8080/images/database/pho.jpg;5;2024-11-10T00:00:00
44;Beef Wellington;A luxurious dish of beef wrapped in puff pastry with mushrooms.;Beef,Puff Pastry,Mushrooms,Onion,Dijon Mustard,Egg,Thyme,Garlic;AMERICAN;STEW;http://localhost:8080/images/database/beef-wellington.jpg;9;2024-11-10T00:00:00
45;Pad See Ew;A Thai stir-fry with wide rice noodles, vegetables, and a savory sauce.;Rice Noodles,Chicken,Soy Sauce,Garlic,Broccoli,Egg,Sugar,Lime;THAI;NOODLE;http://localhost:8080/images/database/pad-see-ew.jpg;4;2024-11-10T00:00:00
46;Chicken Fajitas;Sizzling chicken served with bell peppers and onions.;Chicken,Bell Pepper,Onion,Fajita Seasoning,Tortillas,Sour Cream,Guacamole;EASTERN_EUROPEAN;APPETIZER;http://localhost:8080/images/database/chicken-fajitas.jpg;2;2024-11-10T00:00:00
47;Beef Stroganoff;A creamy beef stew with mushrooms, onions, and sour cream.;Beef,Mushrooms,Onion,Sour Cream,Beef Broth,Paprika,Egg Noodles;RUSSIAN;STEW;http://localhost:8080/images/database/beef-stroganoff.jpg;6;2024-11-10T00:00:00
48;Risotto Primavera;A creamy Italian rice dish with fresh seasonal vegetables.;Arborio Rice,Broccoli,Bell Pepper,Peas,Parmesan,Chicken Stock,Butter,Garlic;SPANISH;STEW;http://localhost:8080/images/database/risotto-primavera.jpg;3;2024-11-10T00:00:00
49;Shrimp Scampi;Garlic and butter shrimp served with spaghetti.;Shrimp,Garlic,Butter,Olive Oil,Lemon,Parsley,Spaghetti;SPANISH;NOODLE;http://localhost:8080/images/database/shrimp-scampi.jpg;8;2024-11-10T00:00:00
50;Cabbage Rolls;Stuffed cabbage leaves filled with ground meat and rice.;Cabbage,Ground Beef,Rice,Onion,Garlic,Tomato Paste,Parsley,Eggs;EASTERN_EUROPEAN;STEW;http://localhost:8080/images/database/cabbage-rolls.jpg;10;2024-11-10T00:00:00
51;Chicken Shawarma;Marinated chicken cooked on a spit, served with pita and garlic sauce.;Chicken,Garlic,Yogurt,Lemon,Olive Oil,Cumin,Paprika,Pita,Cucumber,Tomato;MIDDLE_EASTERN;APPETIZER;http://localhost:8080/images/database/chicken-shawarma.jpg;4;2024-11-10T00:00:00
52;Moussaka;Layers of eggplant, ground beef, and béchamel sauce baked to perfection.;Eggplant,Ground Beef,Tomatoes,Onion,Garlic,Béchamel Sauce,Parmesan,Cinnamon;GREEK;STEW;http://localhost:8080/images/database/moussaka.jpg;5;2024-11-10T00:00:00
53;Tomato Basil Soup;A comforting soup made with tomatoes and fresh basil.;Tomatoes,Basil,Onion,Garlic,Cream,Olive Oil,Vegetable Broth;BRITISH;SOUP;http://localhost:8080/images/database/tomato-basil-soup.jpg;7;2024-11-10T00:00:00
54;Vegetable Paella;A Spanish rice dish with vegetables and saffron.;Rice,Peas,Bell Pepper,Tomato,Garlic,Onion,Saffron,Olive Oil,Lemon;SPANISH;STEW;http://localhost:8080/images/database/vegetable-paella.jpg;9;2024-11-10T00:00:00

55;Chili Con Carne;A hearty chili made with ground beef, beans, and chili spices.;Ground Beef,Kidney Beans,Onion,Garlic,Tomatoes,Chili Powder,Cumin,Bell Pepper;AMERICAN;STEW;http://localhost:8080/images/database/chili-con-carne.jpg;4;2024-11-10T00:00:00
56;Croissant Sandwiches;Flaky croissants filled with deli meats, cheese, and veggies.;Croissants,Ham,Cheese,Lettuce,Tomato,Dijon Mustard;FRENCH;APPETIZER;http://localhost:8080/images/database/croissant-sandwiches.jpg;8;2024-11-10T00:00:00
57;Shakshuka;Eggs poached in a spicy tomato and bell pepper sauce.;Eggs,Tomatoes,Bell Pepper,Onion,Garlic,Cumin,Paprika,Parsley;MIDDLE_EASTERN;APPETIZER;http://localhost:8080/images/database/shakshuka.jpg;7;2024-11-10T00:00:00
58;Baked Ziti;Pasta baked with marinara sauce and melted mozzarella.;Ziti Pasta,Mozzarella,Marinara Sauce,Parmesan,Garlic,Basil;ITALIAN;NOODLE;http://localhost:8080/images/database/baked-ziti.jpg;3;2024-11-10T00:00:00
59;Pasta Primavera;A light pasta dish with fresh vegetables.;Pasta,Bell Pepper,Zucchini,Tomato,Garlic,Parmesan,Olive Oil;ITALIAN;NOODLE;http://localhost:8080/images/database/pasta-primavera.jpg;5;2024-11-10T00:00:00
60;Crispy Chicken Wings;Crispy fried chicken wings tossed in a savory sauce.;Chicken Wings,Flour,Garlic Powder,Paprika,Olive Oil,Soy Sauce,Honey;AMERICAN;APPETIZER;http://localhost:8080/images/database/crispy-chicken-wings.jpg;9;2024-11-10T00:00:00
61;Pasta Puttanesca;A savory pasta dish with olives, capers, and anchovies.;Pasta,Tomatoes,Olives,Capers,Anchovies,Garlic,Parsley,Olive Oil;LATIN_AMERICAN;NOODLE;http://localhost:8080/images/database/pasta-puttanesca.jpg;6;2024-11-10T00:00:00
62;Calamari Fritti;Crispy fried squid served with marinara sauce.;Squid,Flour,Garlic,Lemon,Olive Oil,Parsley,Marinara Sauce;LATIN_AMERICAN;APPETIZER;http://localhost:8080/images/database/calamari-fritti.jpg;10;2024-11-10T00:00:00
63;Sweet and Sour Pork;Pork cooked in a tangy sweet and sour sauce.;Pork,Pineapple,Bell Pepper,Onion,Soy Sauce,Vinegar,Sugar,Cornstarch;CHINESE;STEW;http://localhost:8080/images/database/sweet-and-sour-pork.jpg;2;2024-11-10T00:00:00
64;Duck a l'Orange;Roast duck served with a sweet and tangy orange sauce.;Duck,Oranges,Butter,Chicken Broth,Onion,Garlic,Sugar,Vinegar;FRENCH;STEW;http://localhost:8080/images/database/duck-a-l-orange.jpg;11;2024-11-10T00:00:00
65;Fettuccine Alfredo;A creamy pasta dish with fettuccine and Parmesan.;Fettuccine,Butter,Heavy Cream,Parmesan,Garlic,Parsley;ITALIAN;NOODLE;http://localhost:8080/images/database/fettuccine-alfredo.jpg;2;2024-11-10T00:00:00
66;Lamb Kofta;Spiced ground lamb skewers served with pita and yogurt.;Ground Lamb,Onion,Garlic,Cumin,Coriander,Paprika,Parsley,Pita;MIDDLE_EASTERN;APPETIZER;http://localhost:8080/images/database/lamb-kofta.jpg;5;2024-11-10T00:00:00
67;Pasta Carbonara;Pasta with eggs, bacon, and Parmesan in a creamy sauce.;Pasta,Eggs,Bacon,Parmesan,Garlic,Cream,Olive Oil;LATIN_AMERICAN;NOODLE;http://localhost:8080/images/database/pasta-carbonara.jpg;3;2024-11-10T00:00:00
68;Bangers and Mash;Sausages served with mashed potatoes and onion gravy.;Sausages,Potatoes,Onion,Butter,Milk,Flour,Beef Broth;BRITISH;STEW;http://localhost:8080/images/database/bangers-and-mash.jpg;6;2024-11-10T00:00:00
69;Vegetarian Chili;A hearty chili made with beans and vegetables.;Kidney Beans,Tomatoes,Onion,Bell Pepper,Chili Powder,Cumin,Garlic,Zucchini;RUSSIAN;STEW;http://localhost:8080/images/database/vegetarian-chili.jpg;9;2024-11-10T00:00:00
70;Grilled Cheese;A crispy sandwich with melted cheese.;Bread,Cheese,Butter;AMERICAN;APPETIZER;http://localhost:8080/images/database/grilled-cheese.jpg;4;2024-11-10T00:00:00
71;Beef Empanadas;Pastry pockets filled with seasoned ground beef.;Ground Beef,Onion,Garlic,Cumin,Paprika,Olive Oil,Pastry;LATIN_AMERICAN;APPETIZER;http://localhost:8080/images/database/beef-empanadas.jpg;7;2024-11-10T00:00:00
72;Crab Cakes;Crispy crab patties served with tartar sauce.;Crab Meat,Breadcrumbs,Egg,Mayonnaise,Dijon Mustard,Parsley;RUSSIAN;APPETIZER;http://localhost:8080/images/database/crab-cakes.jpg;8;2024-11-10T00:00:00
73;Minestrone Soup;A hearty Italian vegetable soup with beans and pasta.;Beans,Tomatoes,Zucchini,Carrot,Pasta,Garlic,Onion,Olive Oil,Basil;VIETNAMESE;SOUP;http://localhost:8080/images/database/minestrone-soup.jpg;10;2024-11-10T00:00:00
74;Chana Masala;A flavorful Indian curry made with chickpeas.;Chickpeas,Onion,Garlic,Tomatoes,Cumin,Coriander,Garam Masala,Spinach;INDIAN;STEW;http://localhost:8080/images/database/chana-masala.jpg;11;2024-11-10T00:00:00
75;Ceviche;Fresh fish marinated in lime juice with onion and cilantro.;Fish,Lime,Onion,Cilantro,Chili,Salt,Pepper;MEXICAN;APPETIZER;http://localhost:8080/images/database/ceviche.jpg;9;2024-11-10T00:00:00
76;Falafel;Crispy chickpea fritters served with tahini sauce.;Chickpeas,Garlic,Onion,Parsley,Cumin,Coriander,Tahini,Lemon;MIDDLE_EASTERN;APPETIZER;http://localhost:8080/images/database/falafel.jpg;3;2024-11-10T00:00:00
77;Bulgur Salad;A light and refreshing salad with bulgur, tomatoes, and cucumbers.;Bulgur,Tomato,Cucumber,Parsley,Lemon,Olive Oil,Salt,Pepper;MIDDLE_EASTERN;SALAD;http://localhost:8080/images/database/bulgur-salad.jpg;5;2024-11-10T00:00:00
78;Clam Chowder;A creamy soup made with clams, potatoes, and celery.;Clams,Potatoes,Celery,Onion,Cream,Bacon,Flour,Garlic,Thyme;BRITISH;SOUP;http://localhost:8080/images/database/clam-chowder.jpg;6;2024-11-10T00:00:00
79;Beef Tacos;Ground beef with taco seasoning served in tortillas.;Ground Beef,Taco Shells,Onion,Garlic,Lettuce,Tomato,Cheddar Cheese,Sour Cream;GREEK;APPETIZER;http://localhost:8080/images/database/beef-tacos.jpg;7;2024-11-10T00:00:00
80;Gumbo;A flavorful Louisiana stew made with shrimp, sausage, and okra.;Shrimp,Sausage,Okra,Onion,Celery,Bell Pepper,Garlic,Tomatoes,Rice;GERMAN;STEW;http://localhost:8080/images/database/gumbo.jpg;2;2024-11-10T00:00:00
81;Pavlova;A light meringue dessert topped with whipped cream and fresh fruit.;Egg Whites,Sugar,Cornstarch,Vinegar,Whipped Cream,Kiwi,Strawberries,Passion Fruit;AUSTRALIAN;DESSERT;http://localhost:8080/images/database/pavlova.jpg;5;2024-11-10T00:00:00
82;Eggplant Parmesan;Breaded eggplant slices baked with marinara and melted cheese.;Eggplant,Marinara Sauce,Mozzarella,Parmesan,Eggs,Breadcrumbs,Basil,Garlic;VIETNAMESE;APPETIZER;http://localhost:8080/images/database/eggplant-parmesan.jpg;8;2024-11-10T00:00:00
83;Mole Poblano;A rich, spicy Mexican sauce made with chili and chocolate.;Chili,Chocolate,Onion,Garlic,Tomato,Almonds,Sesame Seeds,Chicken;GREEK;SAUCE;http://localhost:8080/images/database/mole-poblano.jpg;9;2024-11-10T00:00:00
84;Fish and Chips;Crispy battered fish served with golden fries.;Fish,Potatoes,Flour,Beer,Salt,Pepper,Lemon,Tartare Sauce;BRITISH;APPETIZER;http://localhost:8080/images/database/fish-and-chips.jpg;3;2024-11-10T00:00:00
85;Biryani;A fragrant Indian rice dish made with spiced meat or vegetables.;Rice,Chicken,Onion,Tomato,Garlic,Ginger,Yogurt,Biryani Masala,Mint;INDIAN;STEW;http://localhost:8080/images/database/biryani.jpg;7;2024-11-10T00:00:00
86;Tandoori Chicken;Chicken marinated in yogurt and spices, then grilled.;Chicken,Yogurt,Garam Masala,Cumin,Paprika,Lemon,Garlic,Ginger;INDIAN;APPETIZER;http://localhost:8080/images/database/tandoori-chicken.jpg;4;2024-11-10T00:00:00
87;Ratatouille;A French vegetable medley of eggplant, zucchini, and bell peppers.;Eggplant,Zucchini,Bell Pepper,Tomato,Onion,Garlic,Olive Oil,Herbs;FRENCH;STEW;http://localhost:8080/images/database/ratatouille.jpg;10;2024-11-10T00:00:00
88;Chicken Kiev;Breaded chicken with a garlic butter filling.;Chicken,Butter,Garlic,Parsley,Bread Crumbs,Flour,Egg;UKRAINIAN;APPETIZER;http://localhost:8080/images/database/chicken-kiev.jpg;11;2024-11-10T00:00:00
89;Sauerbraten;A slow-cooked German pot roast with a vinegar-based gravy.;Beef,Onion,Vinegar,Sugar,Garlic,Cloves,Bay Leaves,Broth;GERMAN;STEW;http://localhost:8080/images/database/sauerbraten.jpg;6;2024-11-10T00:00:00
90;Lobster Roll;Lobster meat tossed in mayo and served in a buttered roll.;Lobster,Mayo,Lemon,Butter,Celery,Roll;GERMAN;APPETIZER;http://localhost:8080/images/database/lobster-roll.jpg;2;2024-11-10T00:00:00
